Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Bevölkerungsdichte (Gesamtfläche) 2024
4173;Oberhof;71.2
4175;Oeschgen;270.5
4176;Schwaderloch;262.8
4177;Sisseln;656
418;Oberburg;211.5
4181;Wittnau;127
4182;Wölflinswil;113.2
4183;Zeihen;183.9
4184;Mettauertal;100.8
4185;Böztal;131.8
4186;Herznach-Ueken;234.6
4191;Ammerswil;251.4
4192;Boniswil;734.4
4193;Brunegg;593.5
4194;Dintikon;652.7
4195;Egliswil;255.2
4196;Fahrwangen;632.4
4197;Hallwil;469.7
4198;Hendschiken;394
4199;Holderbank (AG);673.8
420;Rüdtligen-Alchenflüh;915.4
4200;Hunzenschwil;1344.2
4201;Lenzburg;1000.4
4202;Meisterschwanden;778.8
4203;Möriken-Wildegg;754.5
4204;Niederlenz;1497.9
4205;Othmarsingen;671.2
4206;Rupperswil;1001.4
4207;Schafisheim;498.4
4208;Seengen;463.8
4209;Seon;587.5
421;Rumendingen;37.3
4210;Staufen;1229.6
422;Rüti bei Lyssach;126.4
4221;Abtwil;270.5
4222;Aristau;185.5
4223;Auw;268.8
4224;Beinwil (Freiamt);115.7
4226;Besenbüren;267.6
4227;Bettwil;168.5
4228;Boswil;264.3
4229;Bünzen;215.4
423;Willadingen;90.3
4230;Buttwil;283.8
4231;Dietwil;258.1
4232;Geltwil;73.5
4233;Kallern;157.5
4234;Merenschwand;288.2
4235;Mühlau;244
4236;Muri (AG);706
4237;Oberrüti;303
4238;Rottenschwil;213.8
4239;Sins;221.1
424;Wynigen;74
4240;Waltenschwil;701.8
4251;Hellikon;120.7
4252;Kaiseraugst;1188.6
4253;Magden;352.8
4254;Möhlin;605.8
4255;Mumpf;497.8
4256;Obermumpf;215.3
4257;Olsberg;78.1
4258;Rheinfelden;862.7
4259;Schupfart;125.2
4260;Stein (AG);1241
4261;Wallbach;453.8
4262;Wegenstetten;142.8
4263;Zeiningen;223.8
4264;Zuzgen;108.3
4271;Aarburg;2022
4273;Bottenwil;169.2
4274;Brittnau;317.4
4275;Kirchleerau;215.1
4276;Kölliken;574.4
4277;Moosleerau;250.7
4279;Murgenthal;168
4280;Oftringen;1176.7
4281;Reitnau;202.1
4282;Rothrist;835.1
4283;Safenwil;773
4284;Staffelbach;152.9
4285;Strengelbach;845.4
4286;Uerkheim;203.2
4287;Vordemwald;201.1
4288;Wiliberg;145.3
4289;Zofingen;1162.1
43;Volken;119.4
4303;Böttstein;582.2
4304;Döttingen;658.2
4305;Endingen;228.1
4306;Fisibach;104.9
4307;Full-Reuenthal;211.9
4309;Klingnau;551.4
431;Corgémont;102.9
4310;Koblenz;446.3
4311;Leibstadt;250.8
4312;Lengnau (AG);233.2
4313;Leuggern;177.6
4314;Mellikon;83
4318;Schneisingen;189.3
4319;Siglistorf;145
432;Cormoret;37.9
4320;Tegerfelden;183.4
4324;Zurzach;320.7
433;Cortébert;44.7
434;Courtelary;65.2
435;La Ferrière;38.7
437;Mont-Tramelan;23.9
438;Orvin;58.4
4401;Arbon;2725.7
4406;Dozwil;563.1
441;Renan (BE);75.8
4411;Egnach;281.1
4416;Hefenhofen;220.4
442;Romont (BE);33
4421;Horn;1840.1
4426;Kesswil;224.8
443;Saint-Imier;248.1
4431;Roggwil (TG);286.9
4436;Romanshorn;1368.3
444;Sonceboz-Sombeval;127.5
4441;Salmsach;601.8
4446;Sommeri;159.5
445;Sonvilier;51.3
4451;Uttwil;440.6
446;Tramelan;190.4
4461;Amriswil;786.1
4471;Bischofszell;554.1
4476;Erlen;326.5
448;Villeret;56.9
4486;Hauptwil-Gottshaus;168.5
449;Sauge;61.6
4495;Hohentannen;81.8
450;Péry-La Heutte;83.1
4501;Kradolf-Schönenberg;359.1
4506;Sulgen;455.3
4511;Zihlschlacht-Sitterdorf;214.9
4536;Basadingen-Schlattingen;121.7
4545;Diessenhofen;410.5
4546;Schlatt (TG);121.4
4551;Aadorf;491.5
4561;Felben-Wellhausen;437.9
4566;Frauenfeld;990.8
4571;Gachnang;476
4590;Hüttlingen;78.1
4591;Matzingen;412.4
4601;Neunforn;97.9
4606;Stettfurt;200.3
4611;Thundorf;111.2
4616;Uesslingen-Buch;81.2
4621;Warth-Weiningen;179.8
4641;Altnau;349.9
4643;Bottighofen;1114
4646;Ermatingen;361.4
4651;Gottlieben;1119.4
4656;Güttingen;188.6
4666;Kemmental;113.3
4671;Kreuzlingen;2033.6
4681;Langrickenbach;138.8
4683;Lengwil;202
4691;Münsterlingen;683.1
4696;Tägerwilen;471.7
4701;Wäldi;95.9
4711;Affeltrangen;199.6
4716;Bettwiesen;348.6
4721;Bichelsee-Balterswil;247.1
4723;Braunau;98.6
4724;Eschlikon;790.4
4726;Fischingen;99
4741;Lommis;154.6
4746;Münchwilen (TG);765.2
4751;Rickenbach (TG);1937.3
4756;Schönholzerswilen;79.3
4761;Sirnach;662.4
4776;Tobel-Tägerschen;243.3
4781;Wängi;308.3
4786;Wilen (TG);1113.8
4791;Wuppenau;100.1
4801;Berlingen;267.3
4806;Eschenz;160
4811;Herdern;85.7
4816;Homburg;65.2
4821;Hüttwilen;101
4826;Mammern;129.2
4831;Müllheim;382
4841;Pfyn;171.9
4846;Raperswilen;54.8
4851;Salenstein;222.3
4864;Steckborn;462.3
4871;Wagenhausen;157.2
4881;Amlikon-Bissegg;97.8
4891;Berg (TG);273.2
4901;Birwinken;116.2
491;Brüttelen;97
4911;Bürglen (TG);356.4
492;Erlach;392.7
4921;Bussnang;138.5
493;Finsterhennen;159.7
494;Gals;108.2
4941;Märstetten;302
4946;Weinfelden;807.8
495;Gampelen;93.7
4951;Wigoltingen;154.1
496;Ins;158.2
497;Lüscherz;105.5
498;Müntschemier;339.2
499;Siselen;114.9
5;Hedingen;612.9
500;Treiten;90.3
5001;Arbedo-Castione;241.2
5002;Bellinzona;275.9
5003;Cadenazzo;373.7
5009;Isone;31.5
501;Tschugg;151.1
5010;Lumino;166.7
5017;Sant'Antonino;407.8
502;Vinelz;199.6
5048;Acquarossa;29.1
5049;Blenio;8.6
5050;Serravalle;21.4
5061;Airolo;15.4
5063;Bedretto;1.4
5064;Bodio;148.3
5071;Dalpe;12.7
5072;Faido;20.4
5073;Giornico;41
5076;Personico;8.2
5077;Pollegio;154.4
5078;Prato (Leventina);22.4
5079;Quinto;12.3
5091;Ascona;1075.2
5096;Brione sopra Minusio;114.1
5097;Brissago;90.5
51;Bachenbülach;994.4
5108;Gordola;695.1
5112;Lavertezzo;1407.9
5113;Locarno;865.9
5115;Losone;726.5
5117;Mergoscia;16.5
5118;Minusio;1249.3
5120;Muralto;4359.3
5121;Orselina;354.1
5125;Ronco sopra Ascona;104.2
5131;Tenero-Contra;917
5136;Onsernone;6.3
5138;Cugnasco-Gerra;156.9
5141;Agno;1828.9
5143;Aranno;135.5
5144;Arogno;110.5
5146;Astano;82.4
5148;Bedano;807.5
5149;Bedigliora;243.7
5151;Bioggio;437.7
5154;Bissone;502.7
5160;Brusino Arsizio;115
5161;Cademario;199.5
5162;Cadempino;2085.5
5167;Canobbio;1878.1
5171;Caslano;1577.1
5176;Comano;1061.2
5180;Cureglia;1399.1
5181;Curio;213.5
5186;Grancia;767.2
5187;Gravesano;1969
5189;Lamone;944.6
5192;Lugano;838.8
5193;Magliaso;1474.5
5194;Manno;579.3
5196;Massagno;9187.8
5198;Melide;1075.3
5199;Mezzovico-Vira;124.8
52;Bassersdorf;1362.2
5200;Miglieglia;57.5
5203;Morcote;255.6
5205;Muzzano;519.4
5206;Neggio;368.5
5207;Novaggio;194.5
5208;Origlio;733.7
5210;Paradiso;5452.8
5212;Ponte Capriasca;317.3
5214;Porza;1100.6
5216;Pura;445.7
5221;Savosa;3075.7
5225;Sorengo;2568.2
5226;Capriasca;184.6
5227;Torricella-Taverne;588
5230;Vernate;406
5231;Vezia;1408.6
5233;Vico Morcote;207.1
5236;Collina d'Oro;798.5
5237;Alto Malcantone;63
5238;Monteceneri;131.1
5239;Tresa;283.2
5240;Val Mara;269.3
5242;Balerna;1326.5
5249;Castel San Pietro;191
5250;Chiasso;1413.8
5251;Coldrerio;1152
5254;Mendrisio;474.8
5257;Morbio Inferiore;1952.2
5260;Novazzano;447.4
5263;Riva San Vitale;445.5
5266;Stabio;735.3
5268;Vacallo;2128.7
5269;Breggia;74.1
5281;Biasca;104.9
5287;Riviera;49.3
53;Bülach;1523.2
5304;Bosco/Gurin;2.1
5307;Campo (Vallemaggia);1.1
5309;Cerentino;1.8
5310;Cevio;7.3
5315;Linescio;6.2
5317;Maggia;24.1
5323;Lavizzara;2.7
5324;Avegno Gordevio;56.1
533;Bätterkinden;331.2
535;Deisswil bei Münchenbuchsee;39.4
538;Fraubrunnen;172.3
5396;Terre di Pedemonte;231.7
5397;Centovalli;20
5398;Gambarogno;97
5399;Verzasca;3.6
54;Dietlikon;1888.7
540;Jegenstorf;435.3
5401;Aigle;716.1
5402;Bex;91.6
5403;Chessel;148
5404;Corbeyrier;20.5
5405;Gryon;99.8
5406;Lavey-Morcles;71.5
5407;Leysin;197
5408;Noville;117.2
5409;Ollon;138
541;Iffwil;87.9
5410;Ormont-Dessous;19.4
5411;Ormont-Dessus;23.3
5412;Rennaz;433.3
5413;Roche (VD);309.1
5414;Villeneuve (VD);188.8
5415;Yvorne;90.9
5422;Aubonne;269.1
5423;Ballens;68.5
5424;Berolle;31.5
5425;Bière;66.6
5426;Bougy-Villars;290.4
5427;Féchy;341.9
5428;Gimel;130.1
5429;Longirod;58.8
543;Mattstetten;158
5430;Marchissy;42.4
5431;Mollens (VD);29.5
5434;Saint-George;87.7
5435;Saint-Livres;88.1
5436;Saint-Oyens;149.3
5437;Saubraz;120.5
544;Moosseedorf;651.3
5451;Avenches;250.4
5456;Cudrefin;119.2
5458;Faoug;256.4
546;Münchenbuchsee;916.5
5464;Vully-les-Lacs;171.8
5471;Bettens;172.7
5472;Bournens;135.8
5473;Boussens;318.4
5474;La Chaux (Cossonay);64.1
5475;Chavannes-le-Veyron;60.6
5476;Chevilly;88.9
5477;Cossonay;590.9
5479;Cuarnens;78.7
5480;Daillens;198.7
5481;Dizy;78.3
5482;Eclépens;208.6
5483;Ferreyres;97.8
5484;Gollion;195.6
5485;Grancy;94.9
5486;L'Isle;67.4
5487;Lussery-Villars;125.7
5488;Mauraz;134
5489;Mex (VD);285.2
5490;Moiry;45
5491;Mont-la-Ville;25.1
5492;Montricher;36.2
5493;Orny;89.5
5495;Penthalaz;818.9
5496;Penthaz;506.5
5497;Pompaples;209.9
5498;La Sarraz;339.6
5499;Senarclens;120.9
55;Eglisau;634.7
5501;Sullens;313.6
5503;Vufflens-la-Ville;249.4
551;Urtenen-Schönbühl;910.3
5511;Assens;203
5512;Bercher;314.8
5514;Bottens;196.8
5515;Bretigny-sur-Morrens;313.2
5516;Cugy (VD);957.7
5518;Echallens;1008.9
552;Utzenstorf;263.8
5520;Essertines-sur-Yverdon;117.1
5521;Etagnières;315.1
5522;Fey;107.5
5523;Froideville;385.5
5527;Morrens (VD);314.7
5529;Oulens-sous-Echallens;102.7
553;Wiggiswil;66.7
5530;Pailly;99.7
5531;Penthéréaz;75.7
5533;Poliez-Pittet;169.7
5534;Rueyres;152
5535;Saint-Barthélemy (VD);202.4
5537;Villars-le-Terroir;184.5
5539;Vuarrens;124.7
554;Wiler bei Utzenstorf;270.2
5540;Montilliez;157.8
5541;Goumoëns;112.8
5551;Bonvillars;68.7
5552;Bullet;40.5
5553;Champagne;273.7
5554;Concise;90.1
5555;Corcelles-près-Concise;106.9
5556;Fiez;63.3
5557;Fontaines-sur-Grandson;27.9
5559;Giez;97.5
556;Zielebach;169.1
5560;Grandevent;70.1
5561;Grandson;431.3
5562;Mauborget;26.3
5563;Mutrux;44.9
5564;Novalles;51.5
5565;Onnens (VD);99.6
5566;Provence;12.8
5568;Sainte-Croix;130.2
557;Zuzwil (BE);159.9
5571;Tévenon;60.4
5581;Belmont-sur-Lausanne;1477.4
5582;Cheseaux-sur-Lausanne;1056
5583;Crissier;1941.1
5584;Epalinges;2167.4
5585;Jouxtens-Mézery;765.8
5586;Lausanne;3501.9
5587;Le Mont-sur-Lausanne;972.6
5588;Paudex;3143.8
5589;Prilly;5799.1
5590;Pully;3334.1
5591;Renens (VD);7302
5592;Romanel-sur-Lausanne;1500.3
56;Embrach;816.1
5601;Chexbres;1051.6
5604;Forel (Lavaux);112.7
5606;Lutry;1270.8
5607;Puidoux;130.1
5609;Rivaz;1061.3
561;Adelboden;39
5610;Saint-Saphorin (Lavaux);439.8
5611;Savigny;219.7
5613;Bourg-en-Lavaux;566.8
562;Aeschi bei Spiez;75
5621;Aclens;150
5622;Bremblens;211
5623;Buchillon;323.6
5624;Bussigny;2418.3
5627;Chavannes-près-Renens;5923.6
5628;Chigny;471.9
5629;Clarmont;223.5
563;Frutigen;98.2
5631;Denens;224.8
5632;Denges;1102.4
5633;Echandens;772.9
5634;Echichens;242.8
5635;Ecublens (VD);2336.4
5636;Etoy;602
5637;Lavigny;274.8
5638;Lonay;734.9
5639;Lully (VD);407.8
564;Kandergrund;25.2
5640;Lussy-sur-Morges;307.3
5642;Morges;4609.6
5643;Préverenges;2812.8
5645;Romanel-sur-Morges;258
5646;Saint-Prex;1060.6
5648;Saint-Sulpice (VD);2771.5
5649;Tolochenaz;1216.4
565;Kandersteg;9.7
5650;Vaux-sur-Morges;88.1
5651;Villars-Sainte-Croix;577.6
5652;Villars-sous-Yens;198
5653;Vufflens-le-Château;391.1
5654;Vullierens;80
5655;Yens;157.5
5656;Hautemorges;133
566;Krattigen;188.3
5661;Boulens;107.6
5663;Bussy-sur-Moudon;84
5665;Chavannes-sur-Moudon;44.5
5669;Curtilles;62.1
567;Reichenbach im Kandertal;30.2
5671;Dompierre (VD);74.8
5673;Hermenches;78.2
5674;Lovatens;42.1
5675;Lucens;245.6
5678;Moudon;424.7
5680;Ogens;100.3
5683;Prévonloup;125
5684;Rossenges;84.3
5688;Syens;59.9
5690;Villars-le-Comte;31.5
5692;Vucherens;189.3
5693;Montanaire;85.4
57;Freienstein-Teufen;282.4
5701;Arnex-sur-Nyon;132.4
5702;Arzier-Le Muids;57.2
5703;Bassins;71.4
5704;Begnins;424.8
5705;Bogis-Bossey;404.5
5706;Borex;575.9
5707;Chavannes-de-Bogis;483.9
5708;Chavannes-des-Bois;463.7
5709;Chéserex;120.9
571;Beatenberg;42
5710;Coinsins;178.4
5711;Commugny;455.3
5712;Coppet;1728.3
5713;Crans (VD);567.3
5714;Crassier;628.1
5715;Duillier;277.4
5716;Eysins;745.4
5717;Founex;785.6
5718;Genolier;414
5719;Gingins;100
572;Bönigen;184.7
5720;Givrins;269.7
5721;Gland;1683.2
5722;Grens;153.3
5723;Mies;630.1
5724;Nyon;3434
5725;Prangins;702.5
5726;La Rippe;72.1
5727;Saint-Cergue;123.9
5728;Signy-Avenex;313.4
5729;Tannay;970
573;Brienz (BE);67.7
5730;Trélex;247.1
5731;Le Vaud;439.5
5732;Vich;762.6
574;Brienzwiler;29.2
5741;L'Abergement;46.6
5742;Agiez;68.1
5743;Arnex-sur-Orbe;91.1
5744;Ballaigues;134.4
5745;Baulmes;51.8
5746;Bavois;111.3
5747;Bofflens;47.5
5748;Bretonnières;47.9
5749;Chavornay;282.2
575;Därligen;60
5750;Les Clées;27.4
5752;Croy;90
5754;Juriens;37.2
5755;Lignerolle;43.3
5756;Montcherand;159.3
5757;Orbe;662.1
5758;La Praz;40.4
5759;Premier;37.3
576;Grindelwald;22.9
5760;Rances;51.8
5761;Romainmôtier-Envy;80.2
5762;Sergey;91.1
5763;Valeyres-sous-Rances;91.2
5764;Vallorbe;186.2
5765;Vaulion;37.1
5766;Vuiteboeuf;120.2
577;Gsteigwiler;62.1
578;Gündlischwand;20.6
5785;Corcelles-le-Jorat;62.8
579;Habkern;12.3
5790;Maracon;129.9
5792;Montpreveyres;159.2
5798;Ropraz;110.2
5799;Servion;352.5
58;Glattfelden;442.5
580;Hofstetten bei Brienz;60.3
5803;Vulliens;94.7
5804;Jorat-Menthue;89.2
5805;Oron;241.3
5806;Jorat-Mézières;287.6
581;Interlaken;1434
5812;Champtauroz;64.3
5813;Chevroux;114.1
5816;Corcelles-près-Payerne;246.2
5817;Grandcour;95.7
5819;Henniez;179.7
582;Iseltwald;18.3
5821;Missy;123.2
5822;Payerne;444.9
5827;Trey;83.9
5828;Treytorrens (Payerne);35.2
5830;Villarzel;68.3
5831;Valbroye;102.1
584;Lauterbrunnen;14.2
5841;Château-d'Oex;32.1
5842;Rossinière;21.4
5843;Rougemont;16.7
585;Leissigen;116.1
5851;Allaman;164.8
5852;Bursinel;298.9
5853;Bursins;241.5
5854;Burtigny;70.6
5855;Dully;378
5856;Essertines-sur-Rolle;112.9
5857;Gilly;185.7
5858;Luins;237.1
5859;Mont-sur-Rolle;713
586;Lütschental;19.5
5860;Perroy;542.5
5861;Rolle;2378.2
5862;Tartegnin;215.6
5863;Vinzel;351.8
587;Matten bei Interlaken;710.8
5871;L'Abbaye;48.4
5872;Le Chenit;47.9
5873;Le Lieu;28.2
588;Niederried bei Interlaken;88.2
5882;Chardonne;323.7
5883;Corseaux;2188.7
5884;Corsier-sur-Vevey;502.2
5885;Jongny;892.6
5886;Montreux;806.8
5889;La Tour-de-Peilz;3930.1
589;Oberried am Brienzersee;23.9
5890;Vevey;8392.5
5891;Veytaux;153.3
5892;Blonay - Saint-Légier;398.8
59;Hochfelden;326.6
590;Ringgenberg (BE);299
5902;Belmont-sur-Yverdon;68.8
5903;Bioley-Magnoux;59.9
5904;Chamblon;193.7
5905;Champvent;80.2
5907;Chavannes-le-Chêne;80.5
5908;Chêne-Pâquier;82
5909;Cheseaux-Noréaz;122.9
591;Saxeten;5.1
5910;Cronay;64.7
5911;Cuarny;52.9
5912;Démoret;40.4
5913;Donneloye;101.7
5914;Ependes (VD);78.8
5919;Mathod;110
592;Schwanden bei Brienz;94.6
5921;Molondin;49
5922;Montagny-près-Yverdon;221.6
5923;Oppens;56.1
5924;Orges;105.5
5925;Orzens;51
5926;Pomy;155.9
5928;Rovray;60.6
5929;Suchy;99.8
593;Unterseen;408
5930;Suscévaz;56.3
5931;Treycovagnes;247.6
5932;Ursins;69
5933;Valeyres-sous-Montagny;310.1
5934;Valeyres-sous-Ursins;81.9
5935;Villars-Epeney;125.6
5937;Vugelles-La Mothe;47.6
5938;Yverdon-les-Bains;2235.6
5939;Yvonand;262.6
594;Wilderswil;209.9
6;Kappel am Albis;174.5
60;Höri;744.1
6002;Brig-Glis;373.9
6004;Eggerberg;55.9
6007;Naters;72.5
6008;Ried-Brig;48.6
6009;Simplon;3.1
6010;Termen;63
6011;Zwischbergen;0.8
602;Arni (BE);94.2
6021;Ardon;188.1
6022;Chamoson;135.2
6023;Conthey;110.7
6024;Nendaz;85.1
6025;Vétroz;633.3
603;Biglen;517
6032;Bourg-Saint-Pierre;2.5
6033;Liddes;13.1
6034;Orsières;20
6035;Sembrancher;63
6037;Val de Bagnes;36.1
605;Bowil;88.1
6052;Bellwald;26
6054;Binn;2
6056;Ernen;15.4
6057;Fiesch;82.5
6058;Fieschertal;2.1
606;Brenzikofen;243.8
6061;Lax;62.5
607;Freimettigen;153
6076;Obergoms;4.3
6077;Goms;8.9
608;Grosshöchstetten;587.4
6082;Ayent;80.4
6083;Evolène;7.9
6084;Hérémence;14.4
6087;Saint-Martin (VS);23.1
6089;Vex;151.7
609;Häutligen;87.3
6090;Mont-Noble;27.3
61;Hüntwangen;222.8
610;Herbligen;231.9
6101;Agarn;97.4
6102;Albinen;16.6
6104;Ergisch;6.2
6109;Inden;13.4
611;Kiesen;211.1
6110;Leuk;78.7
6111;Leukerbad;21.2
6112;Oberems;2.8
6113;Salgesch;152.5
6116;Varen;54.6
6117;Guttet-Feschel;42.2
6118;Gampel-Bratsch;97.5
6119;Turtmann-Unterems;28.6
612;Konolfingen;429.5
613;Landiswil;60.7
6131;Bovernier;72.8
6133;Fully;246.2
6134;Isérables;52.7
6135;Leytron;131.6
6136;Martigny;682.6
6137;Martigny-Combe;63.2
6139;Riddes;156.9
614;Linden;96.4
6140;Saillon;229.7
6141;Saxon;319.7
6142;Trient;4.4
615;Mirchel;239.7
6151;Champéry;36.1
6152;Collombey-Muraz;337.8
6153;Monthey;664.6
6154;Port-Valais;317.1
6155;Saint-Gingolph;75.3
6156;Troistorrents;135.9
6157;Val-d'Illiez;54.6
6158;Vionnaz;144.3
6159;Vouvry;143.3
616;Münsingen;827.5
617;Niederhünigen;131
6172;Bister;6.4
6173;Bitsch;197.2
6177;Grengiols;7.1
6181;Riederalp;23
619;Oberdiessbach;226.2
6191;Ausserberg;42.3
6192;Blatten;3.3
6193;Bürchen;56.9
6194;Eischoll;32.5
6195;Ferden;8.9
6197;Kippel;28.2
6198;Niedergesteln;42.5
6199;Raron;66.6
62;Kloten;1138.7
620;Oberthal;67
6201;Unterbäch;21.7
6202;Wiler (Lötschen);35.5
6203;Mörel-Filet;88.8
6204;Steg-Hohtenn;123
6205;Bettmeralp;16.8
6211;Collonges;71.2
6212;Dorénaz;88.5
6213;Evionnaz;31.2
6214;Finhaut;18.3
6215;Massongex;320.2
6217;Saint-Maurice;309.9
6218;Salvan;28
6219;Vernayaz;344.9
622;Oppligen;194.1
6220;Vérossaz;63.1
623;Rubigen;418.2
6232;Chalais;161.3
6235;Chippis;819.8
6238;Grône;123.3
6239;Icogne;25.8
6240;Lens;326.9
6246;Saint-Léonard;677.3
6248;Sierre;932
6252;Anniviers;11.5
6253;Crans-Montana;175.9
6254;Noble-Contrée;722
626;Walkringen;106.3
6261;Arbaz;76.3
6263;Grimisuat;890.3
6265;Savièse;116.6
6266;Sion;1065.8
6267;Veysonnaz;538.6
627;Worb;550
628;Zäziwil;308.3
6281;Baltschieder;44.4
6282;Eisten;5.1
6283;Embd;20.3
6285;Grächen;92.2
6286;Lalden;584.6
6287;Randa;8.6
6288;Saas-Almagell;3.5
6289;Saas-Balen;11.3
629;Oberhünigen;55.3
6290;Saas-Fee;40.6
6291;Saas-Grund;42.6
6292;St. Niklaus;25.8
6293;Stalden (VS);105.9
6294;Staldenried;39.3
6295;Täsch;22.2
6296;Törbel;29.4
6297;Visp;669.5
6298;Visperterminen;25.5
6299;Zeneggen;47
63;Lufingen;548.3
630;Allmendingen;139.6
6300;Zermatt;25.1
632;Wichtrach;385
64;Nürensdorf;578.1
6404;Boudry;376.9
6408;Cortaillod;1302.7
6413;Rochefort;52.4
6416;Milvignes;1058.9
6417;La Grande Béroche;218.6
6421;La Chaux-de-Fonds;674.9
6422;Les Planchettes;17.1
6423;La Sagne;42.1
6432;La Brévine;14.9
6433;Brot-Plamboz;18.5
6434;Le Cerneux-Péquignot;19.7
6435;La Chaux-du-Milieu;28.7
6436;Le Locle;314.7
6437;Les Ponts-de-Martel;67.7
6451;Cornaux;355.6
6452;Cressier (NE);234
6453;Enges;29.5
6454;Hauterive (NE);1251.6
6455;Le Landeron;451.7
6456;Lignières;84.7
6458;Neuchâtel;1505.8
6459;Saint-Blaise;360.5
6461;La Tène;1016.6
6487;Val-de-Ruz;140.9
65;Oberembrach;110.1
6504;La Côte-aux-Fées;36.9
6511;Les Verrières;22.8
6512;Val-de-Travers;85.7
66;Opfikon;3855.8
6601;Aire-la-Ville;400.3
6602;Anières;664
6603;Avully;377.9
6604;Avusy;273.1
6605;Bardonnex;509
6606;Bellevue;939.4
6607;Bernex;858.1
6608;Carouge (GE);8328.9
6609;Cartigny;239.7
6610;Céligny;185
6611;Chancy;309.3
6612;Chêne-Bougeries;3464.3
6613;Chêne-Bourg;7482.8
6614;Choulex;315.1
6615;Collex-Bossy;241.8
6616;Collonge-Bellerive;1412.3
6617;Cologny;1642.2
6618;Confignon;1643.7
6619;Corsier (GE);844.2
662;Ferenbalm;137.2
6620;Dardagny;212.6
6621;Genève;13099.1
6622;Genthod;996.9
6623;Le Grand-Saconnex;2982.2
6624;Gy;168.1
6625;Hermance;865.3
6626;Jussy;107.8
6627;Laconnex;183.8
6628;Lancy;7811.1
6629;Meinier;297.7
663;Frauenkappelen;158.2
6630;Meyrin;2722.2
6631;Onex;6731.3
6632;Perly-Certoux;1300.8
6633;Plan-les-Ouates;2083.1
6634;Pregny-Chambésy;1315.4
6635;Presinge;150.3
6636;Puplinge;984.3
6637;Russin;110.6
6638;Satigny;249.1
6639;Soral;320.4
6640;Thônex;4400.3
6641;Troinex;916.9
6642;Vandoeuvres;685.5
6643;Vernier;4920.3
6644;Versoix;1331.7
6645;Veyrier;1859.2
665;Gurbrü;133.9
666;Kriechenwil;91.6
667;Laupen;793.5
668;Mühleberg;117.9
669;Münchenwiler;237.1
67;Rafz;446.5
670;Neuenegg;262.5
6702;Boécourt;77.8
6703;Bourrignon;19.4
6704;Châtillon (JU);89.5
6706;Courchapoix;70.3
6708;Courrendlin;171.1
6709;Courroux;174.4
671;Wileroltigen;91.6
6710;Courtételle;205.6
6711;Delémont;583.2
6712;Develier;111.7
6713;Ederswiler;34.7
6715;Mervelier;54
6716;Mettembert;47.9
6718;Movelier;51.2
6719;Pleigne;20.5
6721;Rossemaison;391.5
6722;Saulcy;35.2
6724;Soyhières;60.4
6729;Haute-Sorne;104.9
6730;Val Terbi;70
6741;Le Bémont (JU);26.4
6742;Les Bois;50.3
6743;Les Breuleux;109.4
6745;Les Enfers;21.2
6748;Les Genevez (JU);37.9
6750;Lajoux (JU);58.1
6751;Montfaucon;30.9
6753;Muriaux;30.7
6754;Le Noirmont;94.9
6757;Saignelégier;79.9
6758;Saint-Brais;15.6
6759;Soubey;9.3
6771;Alle;183.6
6774;Boncourt;129.7
6778;Bure;47.1
6781;Coeuve;61.7
6782;Cornol;103.6
6783;Courchavon;52.2
6784;Courgenay;132.3
6785;Courtedoux;92.7
6789;Fahy;43.3
6790;Fontenais;81.6
6792;Grandfontaine;42.1
68;Rorbas;677.5
6800;Porrentruy;445.4
6806;Vendlincourt;60.9
6807;Basse-Allaine;52
6808;Clos du Doubs;21.1
6809;Haute-Ajoie;26
681;Belprahon;69.6
6810;La Baroche;36.5
6811;Damphreux-Lugnez;34.4
6812;Basse-Vendline;39.4
683;Champoz;20.9
687;Corcelles (BE);27.4
69;Wallisellen;2767.1
690;Court;55.7
691;Crémines;56.6
692;Eschert;58.8
694;Grandval;46.2
696;Loveresse;76.3
7;Knonau;381.1
70;Wasterkingen;150
700;Moutier;370
701;Perrefitte;56
703;Reconvilier;303.8
704;Roches (BE);21.1
706;Saicourt;46.8
707;Saules (BE);34.6
708;Schelten;5.9
709;Seehof;8
71;Wil (ZH);175.8
711;Sorvilier;43.5
713;Tavannes;237.3
715;Rebévelier;9
716;Petit-Val;20.3
717;Valbirse;212.7
72;Winkel;627.1
723;La Neuveville;561.1
724;Nods;28.9
726;Plateau de Diesse;84.4
731;Aegerten;1144.9
732;Bellmund;473.9
733;Brügg;930
734;Bühl;162.3
735;Epsach;107.3
736;Hagneck;237
737;Hermrigen;92.1
738;Jens;144.1
739;Ipsach;2036.3
740;Ligerz;293.3
741;Merzligen;175.2
742;Mörigen;407.9
743;Nidau;4640.1
744;Orpund;849.6
745;Port;1587
746;Safnern;366
747;Scheuren;253.6
748;Schwadernau;166.3
749;Studen (BE);1295.6
750;Sutz-Lattrigen;391.6
751;Täuffelen;700.9
754;Walperswil;150.1
755;Worben;947.5
756;Twann-Tüscherz;94.6
761;Därstetten;26.4
762;Diemtigen;17.7
763;Erlenbach im Simmental;47.2
766;Oberwil im Simmental;18.3
767;Reutigen;101.3
768;Spiez;798.9
769;Wimmis;122.4
770;Stocken-Höfen;71.6
782;Guttannen;1.2
783;Hasliberg;27
