Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Bevölkerungsdichte (Gesamtfläche) 2024
332;Madiswil;143.7
333;Melchnau;147.7
3338;Schmerikon;1000
3339;Uznach;933.4
3340;Rapperswil-Jona;1292.9
3341;Gommiswald;170.2
3342;Eschenbach (SG);187
335;Oeschenbach;59.7
3352;Ebnat-Kappel;122.2
3359;Wildhaus-Alt St. Johann;29.7
336;Reisiswil;88.6
3360;Nesslau;42
337;Roggwil (BE);565.3
3374;Lichtensteig;759.2
3379;Wattwil;179.1
338;Rohrbach;391.9
339;Rohrbachgraben;58
3392;Kirchberg (SG);230.2
3393;Lütisburg;116.7
3394;Mosnang;59
3395;Bütschwil-Ganterschwil;244.4
3396;Neckertal;78.4
34;Laufen-Uhwiesen;291.1
340;Rütschelen;146.2
3401;Degersheim;291.2
3402;Flawil;926.9
3405;Jonschwil;363.2
3407;Oberuzwil;478.9
3408;Uzwil;1005.5
341;Schwarzhäusern;136.9
342;Thunstetten;371.3
3422;Niederbüren;96.5
3423;Niederhelfenschwil;201
3424;Oberbüren;266.6
3426;Zuzwil (SG);561.1
3427;Wil (SG);1209.2
344;Ursenbach;98.5
3441;Andwil (SG);339.8
3442;Gaiserwald;689.9
3443;Gossau (SG);677.3
3444;Waldkirch;114.1
345;Wynau;335.5
35;Marthalen;140.8
3506;Vaz/Obervaz;64.3
351;Bern;2673.3
3513;Lantsch/Lenz;23.8
3514;Schmitten (GR);18.1
352;Bolligen;384.7
353;Bremgarten bei Bern;2328.4
354;Kirchlindach;279.3
3542;Albula/Alvra;14.4
3543;Surses;7.6
3544;Bergün Filisur;4.7
355;Köniz;852.9
3551;Brusio;23.7
356;Muri bei Bern;1797.1
3561;Poschiavo;18.3
357;Oberbalm;69.8
3572;Falera;28.4
3575;Laax;66.3
358;Stettlen;966.9
3581;Sagogn;111.1
3582;Schluein;128.6
359;Vechigen;241
360;Wohlen bei Bern;255.6
3603;Vals;5.5
361;Zollikofen;2150.5
3618;Lumnezia;12.5
3619;Ilanz/Glion;38
362;Ittigen;2749
363;Ostermundigen;3074.8
3633;Fürstenau;267.4
3637;Rothenbrunnen;97.7
3638;Scharans;58.5
3640;Sils im Domleschg;105.2
3661;Cazis;78.2
3662;Flerden;41.9
3663;Masein;126.4
3668;Thusis;205.1
3669;Tschappina;5.9
3670;Urmein;37.7
3672;Safiental;6.4
3673;Domleschg;49.2
3681;Avers;1.8
3695;Sufers;4.2
37;Ossingen;140.2
3701;Andeer;19.9
371;Biel/Bienne;2685
3711;Rongellen;29.2
3712;Zillis-Reischen;17.4
3713;Ferrera;1
3714;Rheinwald;4.2
3715;Muntogna da Schons;6.9
372;Evilard;718.1
3721;Bonaduz;247.6
3722;Domat/Ems;346.5
3723;Rhäzüns;120.6
3731;Felsberg;215.4
3732;Flims;57.5
3733;Tamins;30
3734;Trin;33
3746;Zernez;4.6
3752;Samnaun;13.3
3762;Scuol;10.4
3764;Valsot;5
3781;Bever;13.5
3782;Celerina/Schlarigna;58.9
3783;Madulain;12
3784;Pontresina;17.5
3785;La Punt Chamues-ch;11.9
3786;Samedan;25.5
3787;St. Moritz;174.2
3788;S-chanf;5.2
3789;Sils im Engadin/Segl;11.1
3790;Silvaplana;25.1
3791;Zuoz;18.6
3792;Bregaglia;6.3
38;Rheinau;147.6
3804;Buseno;8.2
3805;Castaneda;64.1
3808;Rossa;2.9
381;Arch;273.4
3810;Santa Maria in Calanca;12.1
382;Büetigen;253.7
3821;Lostallo;17
3822;Mesocco;8.6
3823;Soazza;7
383;Büren an der Aare;302.1
3831;Cama;48
3832;Grono;42.6
3834;Roveredo (GR);68.5
3835;San Vittore;43.6
3837;Calanca;5.4
3847;Val Müstair;7.2
385;Diessbach bei Büren;166.2
3851;Davos;37.9
386;Dotzigen;373.5
3861;Fideris;24.7
3862;Furna;6.1
3863;Jenaz;44.9
387;Lengnau (BE);782.5
3871;Klosters;20.4
388;Leuzigen;132.4
